rating,playback_used,ebird_code,channels,date,pitch,duration,filename,speed,species,number_of_notes,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,description,bitrate_of_mp3,file_type,volume,background,xc_id,url,country,author,primary_label,longitude,length,time,recordist,license
4.5,no,aldfly,1 (mono),2013-06-23,Not specified,269,XC139577.mp3,Not specified,Alder Flycatcher,Not specified,XC139577 Alder Flycatcher (Empidonax alnorum),"['Geothlypis trichas_Common Yellowthroat', 'Corvus brachyrhynchos_American Crow', 'Melospiza melodia_Song Sparrow', 'Gavia immer_Common Loon']",yes,Empidonax alnorum," Big Bay State Park, Ashland, Wisconsin",46.8107,48000 (Hz),song,190 m,"Singing from alder thicket at the edge of lagoon.

Foggy and cool.  Recorded with homemade parabolic reflector and Olympus LS-10S.",192000 (bps),mp3,Not specified,Common Yellowthroat (Geothlypis trichas); American Crow (Corvus brachyrhynchos); Song Sparrow (Melospiza melodia); Common Loon (Gavia immer),139577,https://www.xeno-canto.org/139577,United States,Jonathon Jongsma,Empidonax alnorum_Alder Flycatcher,-90.6776,Not specified,06:57,Jonathon Jongsma,Creative Commons Attribution-ShareAlike 3.0
3.5,no,aldfly,2 (stereo),2013-06-25,both,31,XC140298.mp3,level,Alder Flycatcher,1-3,XC140298 Alder Flycatcher (Empidonax alnorum),"['Parkesia noveboracensis_Northern Waterthrush', 'Agelaius phoeniceus_Red-winged Blackbird', 'Melospiza melodia_Song Sparrow', 'Setophaga ruticilla_American Redstart']",yes,Empidonax alnorum," Wilkin's Regional Park, Prince George, British Columbia",53.95,44100 (Hz),"male, song",588 m,"- three songs by single adult male.
- sound editing in Audacity consisted mostly of a high pass filter with a 6dB rolloff below 1000 Hz, and a low pass filter with a 6dB rolloff above 8000 Hz and subsequent amplification (no clipping allowed); any removal of extraneous noise done by silencing rather than cutting to preserve song interval.
- bird singing from atop an alder along south bank of the Nechako River. 
- immediate habitat is bottomland cottonwood forest with dense riparian growth of willows and alders. 
UTM coordinates from Google Earth: Zone 10U 503669.59 E, 5978005.69 N (WGS84)
- typical advertising song of Alder Flycatcher.
- recording device: H2 Zoom; microphone: Sennheiser ME-66 attached to H2 disabling its internal microphones. Clip is mono as a result even though the H2 still labels it as being stereo.
- recording available in WAV format upon email request.",128000 (bps),mp3,both,Northern Waterthrush (Parkesia noveboracensis); Red-winged Blackbird (Agelaius phoeniceus); Song Sparrow (Melospiza melodia); American Redstart (Setophaga ruticilla),140298,https://www.xeno-canto.org/140298,Canada,Jack Bowling,Empidonax alnorum_Alder Flycatcher,-122.9437,0-3(s),14:00,Jack Bowling,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
5.0,no,aldfly,2 (stereo),2008-07-02,Not specified,19,XC142065.mp3,Not specified,Alder Flycatcher,Not specified,XC142065 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Searsport, ME",44.4584,44100 (Hz),call,10 m,,128000 (bps),mp3,Not specified,,142065,https://www.xeno-canto.org/142065,United States,Paul Driver,Empidonax alnorum_Alder Flycatcher,-68.9242,Not specified,06:00,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.0,no,aldfly,2 (stereo),2010-07-06,Not specified,9,XC142066.mp3,Not specified,Alder Flycatcher,Not specified,XC142066 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Seawall, ME",44.228,44100 (Hz),call,0 m,,128000 (bps),mp3,Not specified,,142066,https://www.xeno-canto.org/142066,United States,Paul Driver,Empidonax alnorum_Alder Flycatcher,-68.312,Not specified,06:00,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.0,no,aldfly,2 (stereo),2010-07-06,Not specified,29,XC142067.mp3,Not specified,Alder Flycatcher,Not specified,XC142067 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Seawall, ME",44.228,44100 (Hz),call,0 m,,128000 (bps),mp3,Not specified,,142067,https://www.xeno-canto.org/142067,United States,Paul Driver,Empidonax alnorum_Alder Flycatcher,-68.312,Not specified,06:00,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.0,no,aldfly,2 (stereo),2010-07-06,Not specified,13,XC142068.mp3,Not specified,Alder Flycatcher,Not specified,XC142068 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Seal Cove, Maine",44.257,44100 (Hz),"call, song",0 m,,128000 (bps),mp3,Not specified,,142068,https://www.xeno-canto.org/142068,United States,Paul Driver,Empidonax alnorum_Alder Flycatcher,-68.389,Not specified,05:30,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.0,no,aldfly,2 (stereo),2010-07-16,Not specified,16,XC142329.mp3,Not specified,Alder Flycatcher,Not specified,XC142329 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Seawall, ME",44.228,44100 (Hz),call,0 m,,128000 (bps),mp3,Not specified,,142329,https://www.xeno-canto.org/142329,United States,Paul Driver,Empidonax alnorum_Alder Flycatcher,-68.312,Not specified,07:30,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.5,no,aldfly,2 (stereo),2013-07-18,Not specified,315,XC144672.mp3,Not specified,Alder Flycatcher,Not specified,XC144672 Alder Flycatcher (Empidonax alnorum),['Leiothlypis peregrina_Tennessee Warbler'],yes,Empidonax alnorum," Seal Cove, Maine",44.257,44100 (Hz),call,0 m,"various calls, including ""complex"" calls, possibly serving a song function",128000 (bps),mp3,Not specified,Tennessee Warbler (Leiothlypis peregrina),144672,https://www.xeno-canto.org/144672,United States,Paul Driver,Empidonax alnorum_Alder Flycatcher,-68.389,Not specified,06:50,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.0,no,aldfly,2 (stereo),2013-07-16,Not specified,46,XC144674.mp3,Not specified,Alder Flycatcher,Not specified,XC144674 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Seawall, ME",44.228,44100 (Hz),"""weeoo"" call",0 m,,128000 (bps),mp3,Not specified,,144674,https://www.xeno-canto.org/144674,United States,Paul Driver,Empidonax alnorum_Alder Flycatcher,-68.312,Not specified,06:20,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
5.0,no,aldfly,2 (stereo),2013-07-18,Not specified,84,XC144675.mp3,Not specified,Alder Flycatcher,Not specified,XC144675 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Seawall, ME",44.228,44100 (Hz),"""zweeoo"" call",0 m,,128000 (bps),mp3,Not specified,,144675,https://www.xeno-canto.org/144675,United States,Paul Driver,Empidonax alnorum_Alder Flycatcher,-68.312,Not specified,06:20,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
3.5,no,aldfly,1 (mono),2013-07-19,Not specified,136,XC154310.mp3,Not specified,Alder Flycatcher,Not specified,XC154310 Alder Flycatcher (Empidonax alnorum),"['Hirundo rustica_Barn Swallow', 'Agelaius phoeniceus_Red-winged Blackbird', 'Pooecetes gramineus_Vesper Sparrow', 'Empidonax minimus_Least Flycatcher', 'Tyrannus tyrannus_Eastern Kingbird', 'Spizella pallida_Clay-colored Sparrow']",yes,Empidonax alnorum," 3 km south of Fishing Lake, Saskatchewan",51.7772,48000 (Hz),call,550 m,,128000 (bps),mp3,Not specified,Barn Swallow (Hirundo rustica); American Yellow Warbler (Setophaga aestiva); Red-winged Blackbird (Agelaius phoeniceus); Vesper Sparrow (Pooecetes gramineus); Least Flycatcher (Empidonax minimus); Eastern Kingbird (Tyrannus tyrannus); Clay-colored Sparrow (Spizella pallida),154310,https://www.xeno-canto.org/154310,Canada,Ian Cruickshank,Empidonax alnorum_Alder Flycatcher,-103.5795,Not specified,14:00,Ian Cruickshank,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.0,no,aldfly,1 (mono),2013-06-07,level,26,XC154449.mp3,level,Alder Flycatcher,1-3,XC154449 Alder Flycatcher (Empidonax alnorum),[],no,Empidonax alnorum," Wood Buffalo (near  Fort McMurray), Division No. 16, Alberta",56.7264,44100 (Hz),call,260 m,,128000 (bps),mp3,level,,154449,https://www.xeno-canto.org/154449,Canada,Dugan Maynard,Empidonax alnorum_Alder Flycatcher,-111.3803,0-3(s),22:00,Dugan Maynard,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.0,,aldfly,1 (mono),2013-07-23,Not specified,22,XC157462.mp3,Not specified,Alder Flycatcher,Not specified,XC157462 Alder Flycatcher (Empidonax alnorum),[],,Empidonax alnorum," Whitesand Lake, Saskatchewan",51.777,44100 (Hz),call,550 m,,128000 (bps),mp3,Not specified,,157462,https://www.xeno-canto.org/157462,Canada,Ian Cruickshank,Empidonax alnorum_Alder Flycatcher,-103.3548,Not specified,08:00,Ian Cruickshank,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
3.5,no,aldfly,1 (mono),2012-06-07,Not specified,58,XC167789.mp3,Not specified,Alder Flycatcher,Not specified,XC167789 Alder Flycatcher (Empidonax alnorum),"['Empidonax minimus_Least Flycatcher', 'Setophaga ruticilla_American Redstart', 'Cardellina canadensis_Canada Warbler']",no,Empidonax alnorum," Moosehorn NWR, Edmunds Division, Washington Co, Maine",44.8501,48000 (Hz),song,20 m,,128000 (bps),mp3,Not specified,Least Flycatcher (Empidonax minimus); American Redstart (Setophaga ruticilla); Canada Warbler (Cardellina canadensis),167789,https://www.xeno-canto.org/167789,United States,Paul Marvin,Empidonax alnorum_Alder Flycatcher,-67.1944,Not specified,06:17,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.0,no,aldfly,1 (mono),2011-05-27,Not specified,56,XC167791.mp3,Not specified,Alder Flycatcher,Not specified,XC167791 Alder Flycatcher (Empidonax alnorum),[],no,Empidonax alnorum," Hedbom Logging Rd (near  Floodwood), Aitkin County, Minnesota",46.8976,48000 (Hz),call,380 m,,128000 (bps),mp3,Not specified,,167791,https://www.xeno-canto.org/167791,United States,Paul Marvin,Empidonax alnorum_Alder Flycatcher,-93.0972,Not specified,13:00,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
3.5,,aldfly,1 (mono),2007-05-20,increasing,23,XC16967.mp3,level,Alder Flycatcher,1-3,XC16967 Alder Flycatcher (Empidonax alnorum),"['Branta canadensis_Canada Goose', 'Geothlypis philadelphia_Mourning Warbler']",,Empidonax alnorum," Michigan, Port Huron SGA",43.0501,44100 (Hz),Song,210 m,,116617 (bps),mp3,increasing,Canada Goose (Branta canadensis); American Yellow Warbler (Setophaga aestiva); Mourning Warbler (Geothlypis philadelphia),16967,https://www.xeno-canto.org/16967,United States,Allen T. Chartier,Empidonax alnorum_Alder Flycatcher,-82.5928,0-3(s),?,Allen T. Chartier,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.0,no,aldfly,2 (stereo),2014-05-17,both,13,XC178480.mp3,level,Alder Flycatcher,1-3,XC178480 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Lafayette, Boulder County, Colorado",39.9936,44100 (Hz),call,1600 m,"Alder Flycatcher at Greenlee Preserve. (A note about playback: Although playback was not used to induce this particular episode of vocalizing, playback was used 14 minutes earlier, and indeed induced calling at that time.)",320000 (bps),mp3,level,,178480,https://www.xeno-canto.org/178480,United States,Ted Floyd,Empidonax alnorum_Alder Flycatcher,-105.0897,0-3(s),12:13,Ted Floyd,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.0,yes,aldfly,2 (stereo),2014-05-17,both,17,XC178481.mp3,level,Alder Flycatcher,1-3,XC178481 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum," Lafayette, Boulder County, Colorado",39.9936,44100 (Hz),call,1600 m,"The song of an Alder Flycatcher was played to a ""Traill's"" Flycatcher presumed to be this species. That audio immediately triggered this response.",320000 (bps),mp3,level,,178481,https://www.xeno-canto.org/178481,United States,Ted Floyd,Empidonax alnorum_Alder Flycatcher,-105.0897,0-3(s),11:59,Ted Floyd,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.5,,aldfly,2 (stereo),2014-05-17,both,31,XC178485.mp3,level,Alder Flycatcher,1-3,XC178485 Alder Flycatcher (Empidonax alnorum),"['Empidonax wrightii_Gray Flycatcher', 'Quiscalus quiscula_Common Grackle', 'Haemorhous mexicanus_House Finch']",,Empidonax alnorum," Lafayette, Boulder County, Colorado",39.9936,44100 (Hz),call,1600 m,"Also audible in this recording are footsteps and a western chorus frog (Pseudacris triseriata). See http://xeno-canto.org/178481 for a note on the use of playback.)

playback-used:no",320000 (bps),mp3,level,American Grey Flycatcher (Empidonax wrightii); Audubon's Warbler (Setophaga auduboni); American Yellow Warbler (Setophaga aestiva); Common Grackle (Quiscalus quiscula); House Finch (Haemorhous mexicanus),178485,https://www.xeno-canto.org/178485,United States,Ted Floyd,Empidonax alnorum_Alder Flycatcher,-105.0897,0-3(s),12:12,Ted Floyd,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.5,no,aldfly,2 (stereo),2014-05-24,Not specified,38,XC179417.mp3,Not specified,Alder Flycatcher,Not specified,XC179417 Alder Flycatcher (Empidonax alnorum),"['Geothlypis trichas_Common Yellowthroat', 'Agelaius phoeniceus_Red-winged Blackbird']",yes,Empidonax alnorum," Upper Hanover (near  Pennsburg), Montgomery, Pennsylvania",40.3722,44100 (Hz),song,90 m,migrant,128000 (bps),mp3,Not specified,Common Yellowthroat (Geothlypis trichas); Red-winged Blackbird (Agelaius phoeniceus),179417,https://www.xeno-canto.org/179417,United States,Paul Driver,Empidonax alnorum_Alder Flycatcher,-75.508,Not specified,09:12,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.5,no,aldfly,1 (mono),2014-05-25,Not specified,72,XC179600.mp3,Not specified,Alder Flycatcher,Not specified,XC179600 Alder Flycatcher (Empidonax alnorum),"['Spinus tristis_American Goldfinch', 'Geothlypis trichas_Common Yellowthroat', 'Spizella pusilla_Field Sparrow', 'Corvus brachyrhynchos_American Crow']",no,Empidonax alnorum," Murphy-Hanrehan Park Reserve, Dakota, Minnesota",44.707,48000 (Hz),song,300 m,"Singing from a tree at edge of prairie.

Recorded with parabolic reflector and Sony PCM-M10.",192000 (bps),mp3,Not specified,American Goldfinch (Spinus tristis); Common Yellowthroat (Geothlypis trichas); Field Sparrow (Spizella pusilla); American Crow (Corvus brachyrhynchos); American Yellow Warbler (Setophaga aestiva),179600,https://www.xeno-canto.org/179600,United States,Jonathon Jongsma,Empidonax alnorum_Alder Flycatcher,-93.329,Not specified,06:00,Jonathon Jongsma,Creative Commons Attribution-ShareAlike 4.0
3.5,no,aldfly,1 (mono),2014-05-24,Not specified,86,XC180091.mp3,Not specified,Alder Flycatcher,Not specified,XC180091 Alder Flycatcher (Empidonax alnorum),"['Empidonax traillii_Willow Flycatcher', 'Turdus migratorius_American Robin', 'Melospiza melodia_Song Sparrow', 'Geothlypis trichas_Common Yellowthroat', 'Cyanocitta cristata_Blue Jay', 'Spinus tristis_American Goldfinch', 'Icterus galbula_Baltimore Oriole']",yes,Empidonax alnorum," Philadelphia, Philadelphia County, Pennsylvania",40.1119,44100 (Hz),call,30 m,Natural calls from a bird about 1-2m up in crabapples amid second growth brush around edge of industrial park.,128000 (bps),mp3,Not specified,Willow Flycatcher (Empidonax traillii); American Robin (Turdus migratorius); Song Sparrow (Melospiza melodia); Common Yellowthroat (Geothlypis trichas); Blue Jay (Cyanocitta cristata); American Goldfinch (Spinus tristis); Baltimore Oriole (Icterus galbula),180091,https://www.xeno-canto.org/180091,United States,Dan Lane,Empidonax alnorum_Alder Flycatcher,-74.9651,Not specified,09:30,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.0,no,aldfly,1 (mono),2014-06-08,Not specified,23,XC181484.mp3,Not specified,Alder Flycatcher,Not specified,XC181484 Alder Flycatcher (Empidonax alnorum),[],no,Empidonax alnorum, Moose Lake Alberta,54.2499,48000 (Hz),song,550 m,Singing about half an hour before sunrise with the rest of the morning cacophony from bushes on the edge of a lake. https://ebird.org/view/checklist/S18736865,128000 (bps),mp3,Not specified,,181484,https://www.xeno-canto.org/181484,Canada,Randy Dzenkiw,Empidonax alnorum_Alder Flycatcher,-110.9842,0-3(s),04:30,Randy Dzenkiw,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.5,no,aldfly,2 (stereo),2014-05-25,Not specified,103,XC182735.mp3,Not specified,Alder Flycatcher,Not specified,XC182735 Alder Flycatcher (Empidonax alnorum),"['Geothlypis trichas_Common Yellowthroat', 'Icterus galbula_Baltimore Oriole']",yes,Empidonax alnorum," Rivière Missisquoi, Sutton, Brome-Missisquoi, Québec",45.0336,44100 (Hz),song,180 m,"Sitting at the top of a small tree. Habitat: bushes, river, marsh.",128000 (bps),mp3,Not specified,Common Yellowthroat (Geothlypis trichas); Baltimore Oriole (Icterus galbula),182735,https://www.xeno-canto.org/182735,Canada,Martin St-Michel,Empidonax alnorum_Alder Flycatcher,-72.5555,Not specified,06:53,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.5,no,aldfly,1 (mono),2014-06-13,level,127,XC188377.mp3,accelerating,Alder Flycatcher,1-3,XC188377 Alder Flycatcher (Empidonax alnorum),"['Agelaius phoeniceus_Red-winged Blackbird', 'Geothlypis trichas_Common Yellowthroat', 'Pica hudsonia_Black-billed Magpie', ""Catharus ustulatus_Swainson's Thrush"", 'Corvus brachyrhynchos_American Crow', 'Parkesia noveboracensis_Northern Waterthrush', 'Cyanocitta cristata_Blue Jay', ""Melospiza lincolnii_Lincoln's Sparrow""]",yes,Empidonax alnorum," Maxwell Lake, Hinton, Alberta",53.3866,44100 (Hz),song,1100 m,second half of the recording is the better half,128000 (bps),mp3,both,Red-winged Blackbird (Agelaius phoeniceus); Common Yellowthroat (Geothlypis trichas); Black-billed Magpie (Pica hudsonia); Swainson's Thrush (Catharus ustulatus); American Crow (Corvus brachyrhynchos); Northern Waterthrush (Parkesia noveboracensis); Blue Jay (Cyanocitta cristata); Lincoln's Sparrow (Melospiza lincolnii),188377,https://www.xeno-canto.org/188377,Canada,Richard E. Webster,Empidonax alnorum_Alder Flycatcher,-117.5883,0-3(s),07:55,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.5,no,aldfly,1 (mono),2014-06-14,level,22,XC188432.mp3,level,Alder Flycatcher,1-3,XC188432 Alder Flycatcher (Empidonax alnorum),"['Zonotrichia albicollis_White-throated Sparrow', 'Melospiza melodia_Song Sparrow', ""Melospiza lincolnii_Lincoln's Sparrow""]",yes,Empidonax alnorum," Swan Lake Provincial Park, British Columbia",55.5267,44100 (Hz),song,750 m,"1st recording of this individual; singing from exposed perch, but flew down",128000 (bps),mp3,both,White-throated Sparrow (Zonotrichia albicollis); Song Sparrow (Melospiza melodia); American Yellow Warbler (Setophaga aestiva); Lincoln's Sparrow (Melospiza lincolnii),188432,https://www.xeno-canto.org/188432,Canada,Richard E. Webster,Empidonax alnorum_Alder Flycatcher,-120.0314,0-3(s),04:51,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.5,no,aldfly,1 (mono),2014-06-14,level,41,XC188434.mp3,level,Alder Flycatcher,1-3,XC188434 Alder Flycatcher (Empidonax alnorum),"[""Melospiza lincolnii_Lincoln's Sparrow"", 'Corvus brachyrhynchos_American Crow', 'Empidonax alnorum_Alder Flycatcher', ""Catharus ustulatus_Swainson's Thrush""]",yes,Empidonax alnorum," Swan Lake Provincial Park, British Columbia",55.5267,44100 (Hz),song,750 m,2nd recording of this individual;,128000 (bps),mp3,both,American Yellow Warbler (Setophaga aestiva); Lincoln's Sparrow (Melospiza lincolnii); American Crow (Corvus brachyrhynchos); Alder Flycatcher (Empidonax alnorum); Swainson's Thrush (Catharus ustulatus),188434,https://www.xeno-canto.org/188434,Canada,Richard E. Webster,Empidonax alnorum_Alder Flycatcher,-120.0314,0-3(s),04:52,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
